id,ticket_text,category,priority
1743,Shared Mailbox Access - [TICKET ID] - [EMAIL],Support general,Medium
1591,access to public folder,Fileservice,Medium
744,Shared Mailbox Access - [ADDRESS] - [EMAIL],Support general,Medium
3834,[COMPANY] Intranet Editor Rights User  Internal- [TICKET ID]Service Request: Intranet Editor Rights     Set Intranet Editor Rights only user for [NAME] ([COMPANY]A. [LOCATION])     Firstname: [NAME]  Lastname: [NAME]  Cost Center: 22008  Company: [COMPANY] SE & Co. KGaA  Department: [COMPANY]-SC  [ADDRESS]: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: Germany  Office: [LOCATION]. IG VI. 3.24     Editor Rights required  Publish News :False  Publish News and Content Pages: True   I dont know: False     Requestor: [NAME] ([COMPANY]A. [LOCATION])  Additional information:,Active Directory,Medium
1866,Need administrative rights for [LOCATION],Fileservice,Medium
1739,Shared Mailbox Access - [ADDRESS] - [EMAIL],Support general,Medium
1717,Shared Mailbox Access - [TICKET ID] - [EMAIL],Support general,Medium
1645,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL],Support general,Medium
1817,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL],Support general,Medium
7728,Light User for external - [TICKET ID] - [USERNAME]-[NAME] Service Request: Light User for external  Create Light user for [USERNAME]. Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 32151  Function: Geschäftsführer  /  Managing director  Company: [COMPANY] GmbH  Department: SB-SP  [ADDRESS]: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Feb  4 2020 12:00AM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Feb  4 2019 12:00AM     Additional information:  [NAME] wird die Leererkennung im Regal realisieren.,Support general,Medium
1812,Shared Mailbox Access - [ADDRESS] - [EMAIL],Support general,Medium
1999,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL],Support general,Medium
753,[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [USERNAME] ([COMPANY]. [LOCATION])  ,Support general,Medium
1421,Problem with my user,Active Directory,Medium
11138,access to s3 bucket,Software,Medium
3695,Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]      Firstname: [NAME]   Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47003  Function: Praktikantin  Company: Praktikantin  Department: GMC-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: Germany  Location:[LOCATION] Office:   Expiration date: Mar 31 2019 12:00AM     Important: Please indicate in EA14 that it is an external user.     Requestor: [USERNAME] ([COMPANY]. [LOCATION])     Desired date: Feb  4 2019 12:00AM     Additional information:,Support general,Medium
6767,Preciso que libere acesso à pasta J/RH,Fileservice,Medium
762,[TICKET ID] - New Support Ticket received  - Request access to [NAME]s email  ,O365,Medium
1408,Create AD group for [COMPANY] Scandinavia for myHR,Active Directory,Medium
1069,[TICKET ID] - New Support Ticket received  - Instalação software para ponto eletrônico,Software,Medium
1040,[TICKET ID] - A Support Ticket was forwarded to your role  - Initiated by [COMPANY][LOCATION]- Vulnerable Adobe Flash on [SERVER],Support general,Medium
10198,No funciona SkypeBuenas tardes.  Me dejo de funcionar el Slype desde el viernes.  Gracias.,O365,Medium
2405,missing emailsMissing emails from 9/2018 to 9/2017              [Image],O365,Medium
14236,Erro pacote office,O365,Medium
7780,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  //[COMPANY]up.ads.dir/[COMPANY]ein01-ems01/[LOCATION]/Groups/ESBA     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
2010,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1587,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1479,Create Shared Mailbox - [EMAIL] - [EMAIL],Support general,Medium
378,[TICKET ID] - A Support Ticket was forwarded to your role  - Expend service account permissons for [SOFTWARE] AD access,Support general,Medium
2461,Unable to access missed conversations in OutlookHello.  When I click on a missed conversation in Outlook. it will not open it and give an error message.  See attachment....  Thanks!,O365,Medium
2077,File Share Access - [TICKET ID] - [ADDRESS] ([COMPANY]A. [LOCATION]),Fileservice,Medium
2084,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
2039,File Share Access - [TICKET ID] - [NAME] ([COMPANY]-[PASSWORD]. [LOCATION]),Fileservice,Medium
1640,Fileserver Migration[LOCATION](From [SERVER] to [SERVER]),Fileservice,Medium
1510,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL],Support general,Medium
1535,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
13767,Initiated by GIT: Missing connection to AV on system [SERVER],Software,Medium
1436,create new OUs North_America and South_America,Active Directory,Medium
9734,Users [USERNAME] and Yock need help with VPN,Support general,Medium
1733,Shared Mailbox Access - [PASSWORD] - [EMAIL],Support general,Medium
1798,[COMPANY] - Security - Standard Change Add Member to Group Permission for mtx_service,Support general,Medium
621,[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION]),Support general,Medium
2243,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL],Support general,Medium
1634,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. External),Fileservice,Medium
12152,Guest wireless issues,Support general,Medium
1631,Temporärer Zugang zur Mailgruppe [COMPANY] Standort Einbeck um eine wichtige Mitteilung zur Datennutzung zu verschicken,Support general,Medium
1508,Shared Mailbox Access - [TICKET ID] - [EMAIL],Support general,Medium
7098,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      N:/MA55/      please create the folder and give R/W access for this and all subfolders.        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
1871,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
6031,impressora com erro,Computer-Services,Medium
675,[TICKET ID] - New Support Ticket received  - File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
1088,[TICKET ID] - This Support Ticket was reopened  - Acesso a Intranet [COMPANY],Support general,Medium
9559,Missing connection to McAfee on system [SERVER],Software,Medium
8479,Liberação acesso a pasta,Fileservice,Medium
6623,Impressora Zebra nao está imprimindo.,Computer-Services,Medium
10296,Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  41601  Company:  [COMPANY] SE  Department:  GGR-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13415 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan  2 2019 12:00AM     Additional information:   [NAME] beginnt seine Arbeit erst am 02.01.19. Lieferungend avor bitte an [NAME] oder [NAME] [NAME]ke,Support general,Medium
1158,[TICKET ID] - New Support Ticket received  -[LOCATION]on samsung J7 not working. Lost Login credentials. ,O365,Medium
1382,[TICKET ID] - New Support Ticket received  - Problema Computador da [NAME],Support general,Medium
2296,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
1692,Shared Mailbox Access - [ADDRESS] - [EMAIL],Support general,Medium
9128,We need the [NAME] to be connected to the R Drive,Fileservice,Medium
880,[TICKET ID] - New Support Ticket received  - Moorhead printer,Computer-Services,Medium
1015,[TICKET ID] - New Support Ticket received  - cambio formato de excel en archivos,O365,Medium
1608,User [USERNAME] löschen,Active Directory,Medium
2297,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
2014,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
1544,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
2314,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1723,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
1401,Acceso a Carpetas,Fileservice,Medium
1036,[TICKET ID] - New Support Ticket received  - Cadastrar usuário + compra de equipamento -[LOCATION]13362,Active Directory,Medium
10745,Konto wird immer wieder gesperrt,Active Directory,Medium
4504,Is it possible to download Power BI Desktop?,O365,High
1112,[TICKET ID] - A Support Ticket was forwarded to your role  - URL,Support general,Medium
2969,Change[LOCATION]Entry[LOCATION]FirewallChange[LOCATION]Entry[LOCATION]Firewall,Support general,Medium
6246,The following system must be set to End Of Life in Nexthink and checked for[LOCATION]reservations:  [SERVER]  -Automated ticket creation-Please remove the system from Nexthink according to the[LOCATION]process and please verify if any[LOCATION]reservations exist. If yes. please remove reservations and note down the corresponding IP(s) and inform [COMPANY] network team to remove firewall rules if there are any.,EOL,High
1127,[TICKET ID] - New Support Ticket received  - [Light House] [SERVER],Support general,Medium
6258,Acces au [COMPANY] Interne,Active Directory,Medium
6443,Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]      Firstname: [NAME]   Lastname: [NAME]ailaddress: [EMAIL]  Phone: 0  Cost Center: 47050  Function:[LOCATION]Consultant  Company: [COMPANY]  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 18 2018 12:00AM     Additional information:  NameMailZugänge Witali [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad + lokale und server Lumira Designer Version zum Erstellen und upload von dem Dashboard  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad,Support general,Medium
1983,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1558,File Share Access - [TICKET ID] - [ADDRESS] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1524,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
9654,Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 44288  Function: Vigilant  Company: [COMPANY]  Department: [ADDRESS] [ADDRESS] 2 KM – [ADDRESS] Rural.  ZIP:[LOCATION][ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 22 2018  3:00AM     Additional information:,Support general,Medium
3678,Mailbox von [NAME] als Shared Mailbox weiterhin bestehen lassen,Support general,Medium
997,[TICKET ID] - New Support Ticket received  - Acesso,Fileservice,Medium
1534,File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. BRLM),Fileservice,Medium
7391,Initiated by GIT: Missing connection to all security tools on [SERVER],Software,Medium
8655,Login to Citrix for[LOCATION]and [NAME],Software,Medium
13919,The user [NAME] @[URL] domain mailbox,Support general,Medium
1785,Shared Mailbox Access - [TICKET ID] - [EMAIL],Support general,Medium
1791,Remove File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1224,[TICKET ID] - New Support Ticket received  - Problema no recebimento dos e-mail do [EMAIL],O365,Medium
1319,[TICKET ID] - A Support Ticket was forwarded to you  - Send as delegate ,O365,Medium
2270,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
899,[TICKET ID] - New Support Ticket received  - Desbloqueio de Celular,Support general,Medium
8672,Zugriffsberechtigungen IT-Servicedesk Postfach für [NAME],Support general,Medium
1649,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
11510,Ads Slide in from the side and need to be stopped.,O365,Medium
889,[TICKET ID] - New Support Ticket received  - Mensagem,O365,Medium
1131,Instalar e-mail na impressora para digitalizações,Computer-Services,Medium
661,[TICKET ID] - A Support Ticket was forwarded to your role  -  Zugriff Shared Mailbox - [NAME] [EMAIL] auf ITCC,O365,Medium
7380,File Share Access - [TICKET ID] - [USERNAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:                     J:/INS-DV              Requestor: [USERNAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
602,[TICKET ID] - A Support Ticket was forwarded to your role  - Mail Blockierung?,O365,Medium
1819,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1072,[TICKET ID] - New Support Ticket received  - Mcafee,Support general,Medium
7468,E-mail do sac,Support general,Medium
1180,[TICKET ID] - New information received on closed ticket  - Documents not scanning from copier to email,Computer-Services,Medium
1206,[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Hostalarm: ([SERVER]) [COMPANY] LS Site2Site[LOCATION]- UP -> DOWN,Support general,High
1287,[TICKET ID] - New Support Ticket received  - Citrix not working and need Nautilus 9.3 on PC and installed as Citrix app,Software,Medium
5511,Printer Access,Computer-Services,Medium
2204,File Share Access - [TICKET ID] - [NAME] ([COMPANY] [LOCATION]),Fileservice,Medium
6647,Acesso à Pasta de Rede,Fileservice,Medium
2147,Remove File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
2003,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL],Support general,Medium
1415,[COMPANY] list of employees in e-mails is not complete,O365,Medium
11375,Basis User - [TICKET ID] - [USERNAME] ([COMPANY])Service Request: Basis User     Create Windows account for internal user  [USERNAME] ([COMPANY])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  958302  Company:  [COMPANY][LOCATION] Department:  CE-PRL-[ADDRESS]-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:       Important: Please set the EA10 to the following value: 8340 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY])     Desired date:  Jan  1 2019 12:00AM     Additional information:,Support general,Medium
1887,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
726,[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION]),Support general,Medium
1630,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
2197,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1278,[TICKET ID] - New Support Ticket received  - T&C Cellular Signal ,Support general,Medium
8667,[SERVER] - Outdated McAfee Agent,Software,Medium
1642,(2020011813239) Verizon Initial Notification,Support general,Medium
833,[TICKET ID] - New Support Ticket received  - Instalação de software,Software,Medium
1916,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
275,Matrix update stalled,Software,Medium
2092,File Share Access - [TICKET ID] - [ADDRESS] ([COMPANY]A. [LOCATION]),Fileservice,Medium
6293,Kommandozeile basierte Ablegen von Daten aus dem Netzwerk in einem S3 bucket,Software,Medium
9333,Initiated by GIT: Missing connection to all securitytools on system [SERVER],Software,Medium
7579,File Share Access - [TICKET ID] -[LOCATION]ServiceService Request: File Share Access     Grant access to file share for the following user:  [NAME] (Username: [USERNAME])  Access Type: (RO) Read only  File Share:  //[SERVER]/[COMPANY]/[COMPANY] Berichte/     Requestor: [NAME] (EXTERNAL. [LOCATION])  Comment:  Used for exchanging [SOFTWARE] Import files,Fileservice,Medium
2227,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
2368,Restore AD object [NAME],Active Directory,Medium
1854,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
2282,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
3761,Liberação de acesso a planilha,Fileservice,Medium
1699,File Share Access - [TICKET ID] - [NAME] ([COMPANY]),Fileservice,Medium
1987,File Share Access - [TICKET ID] - [NAME] ([COMPANY]),Fileservice,Medium
2081,Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL],Support general,Medium
1496,File Share Access - [TICKET ID] [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1181,[TICKET ID] - A Support Ticket was forwarded to you  - UPN/email ID change,Active Directory,Medium
2089,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
8513,Initiated by GIT: Missing connection to all securitytools on system [SERVER],Software,Medium
3947,The user [USERNAME] need @[USERNAME] mailbox,Support general,Medium
7022,Remove File Share Access - [TICKET ID] - [USERNAME] ([COMPANY]. [LOCATION])Service Request: Remove File Share Access     Remove file share access for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  File Share:       Requestor: [USERNAME] ([COMPANY]. [LOCATION])  Comment:  Hallo Zusammen. bitte den Zugriff auf Laufwerk J: Groups:  ZET-PW für mich entfernen lassen ! Danke und Gruß,Fileservice,Medium
13861,The following system must be set to End Of Life in Nexthink:  [SERVER]  -Automated ticket creation-The following system must be set to End Of Life in Nexthink:  [SERVER],EOL,Medium
1881,Shared Mailbox Access - [ADDRESS] - [EMAIL],Support general,Medium
11551,Externen Kontakt im AD anlegen,Active Directory,Medium
1958,Create Shared Mailbox - [EMAIL] -[LOCATION]HR,Support general,Medium
862,[TICKET ID] - New Support Ticket received  - Wifi Request,Support general,Medium
1151,[TICKET ID] - New Support Ticket received  - Need installation of a new mobile phone- blackberry. Okta. mobile pass,Software,Medium
1563,Shared Mailbox Access - [ADDRESS] - [EMAIL],Support general,Medium
1553,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
1368,[TICKET ID] - New Support Ticket received  - Skype Not Working,O365,Medium
1559,File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
11304,Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [USERNAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]   Phone: [PHONE]   Cost Center: 47046  Function: Development Lead & Integration Manager for[LOCATION] Company: [COMPANY][LOCATION] Department: GIT-[ADDRESS]  [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan  9 2019 12:00AM     Additional information:,Support general,Medium
1710,Delete Shared Mailbox - [TICKET ID] - [EMAIL] ([COMPANY]-[PASSWORD]. [LOCATION]),Support general,Medium
1895,File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
1840,Remove File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
47,Printer at my desk is hesitating when printing,Computer-Services,Medium
2074,File Share Access - [TICKET ID] - [ADDRESS][COMPANY]. [LOCATION]),Fileservice,Medium
1541,Acceso carpeta Produccion en Z,Fileservice,Medium
