ticket_text,category,priority
access to public folder,Fileservice,Medium
Shared Mailbox Access - [ADDRESS] - [EMAIL],Support general,Medium
[COMPANY] Intranet Editor Rights User  Internal- [TICKET ID]Service Request: Intranet Editor Rights     Set Intranet Editor Rights only user for [NAME] ([COMPANY]A. [LOCATION])     Firstname: [NAME]  Lastname: [NAME]  Cost Center: 22008  Company: [COMPANY] SE & Co. KGaA  Department: [COMPANY]-SC  [ADDRESS]: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: Germany  Office: [LOCATION]. IG VI. 3.24     Editor Rights required  Publish News :False  Publish News and Content Pages: True   I dont know: False     Requestor: [NAME] ([COMPANY]A. [LOCATION])  Additional information:,Active Directory,Medium
Need administrative rights for [LOCATION],Fileservice,Medium
Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL],Support general,Medium
Light User for external - [TICKET ID] - [USERNAME]-[NAME] Service Request: Light User for external  Create Light user for [USERNAME]. Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 32151  Function: Geschäftsführer  /  Managing director  Company: [COMPANY] GmbH  Department: SB-SP  [ADDRESS]: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Feb  4 2020 12:00AM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Feb  4 2019 12:00AM     Additional information:  [NAME] wird die Leererkennung im Regal realisieren.,Support general,Medium
[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [USERNAME] ([COMPANY]. [LOCATION])  ,Support general,Medium
Problem with my user,Active Directory,Medium
access to s3 bucket,Software,Medium
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]      Firstname: [NAME]   Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47003  Function: Praktikantin  Company: Praktikantin  Department: GMC-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: Germany  Location:[LOCATION] Office:   Expiration date: Mar 31 2019 12:00AM     Important: Please indicate in EA14 that it is an external user.     Requestor: [USERNAME] ([COMPANY]. [LOCATION])     Desired date: Feb  4 2019 12:00AM     Additional information:,Support general,Medium
Preciso que libere acesso à pasta J/RH,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Request access to [NAME]s email  ,O365,Medium
Create AD group for [COMPANY] Scandinavia for myHR,Active Directory,Medium
[TICKET ID] - New Support Ticket received  - Instalação software para ponto eletrônico,Software,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Initiated by [COMPANY][LOCATION]- Vulnerable Adobe Flash on [SERVER],Support general,Medium
No funciona SkypeBuenas tardes.  Me dejo de funcionar el Slype desde el viernes.  Gracias.,O365,Medium
missing emailsMissing emails from 9/2018 to 9/2017              [Image],O365,Medium
Erro pacote office,O365,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  //[COMPANY]up.ads.dir/[COMPANY]ein01-ems01/[LOCATION]/Groups/ESBA     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
Create Shared Mailbox - [EMAIL] - [EMAIL],Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Expend service account permissons for [SOFTWARE] AD access,Support general,Medium
Unable to access missed conversations in OutlookHello.  When I click on a missed conversation in Outlook. it will not open it and give an error message.  See attachment....  Thanks!,O365,Medium
File Share Access - [TICKET ID] - [ADDRESS] ([COMPANY]A. [LOCATION]),Fileservice,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]-[PASSWORD]. [LOCATION]),Fileservice,Medium
Fileserver Migration[LOCATION](From [SERVER] to [SERVER]),Fileservice,Medium
Initiated by GIT: Missing connection to AV on system [SERVER],Software,Medium
create new OUs North_America and South_America,Active Directory,Medium
Users [USERNAME] and Yock need help with VPN,Support general,Medium
Shared Mailbox Access - [PASSWORD] - [EMAIL],Support general,Medium
[COMPANY] - Security - Standard Change Add Member to Group Permission for mtx_service,Support general,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. External),Fileservice,Medium
Guest wireless issues,Support general,Medium
Temporärer Zugang zur Mailgruppe [COMPANY] Standort Einbeck um eine wichtige Mitteilung zur Datennutzung zu verschicken,Support general,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      N:/MA55/      please create the folder and give R/W access for this and all subfolders.        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
impressora com erro,Computer-Services,Medium
[TICKET ID] - New Support Ticket received  - File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
[TICKET ID] - This Support Ticket was reopened  - Acesso a Intranet [COMPANY],Support general,Medium
Missing connection to McAfee on system [SERVER],Software,Medium
Liberação acesso a pasta,Fileservice,Medium
Impressora Zebra nao está imprimindo.,Computer-Services,Medium
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  41601  Company:  [COMPANY] SE  Department:  GGR-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13415 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan  2 2019 12:00AM     Additional information:   [NAME] beginnt seine Arbeit erst am 02.01.19. Lieferungend avor bitte an [NAME] oder [NAME] [NAME]ke,Support general,Medium
[TICKET ID] - New Support Ticket received  -[LOCATION]on samsung J7 not working. Lost Login credentials. ,O365,Medium
[TICKET ID] - New Support Ticket received  - Problema Computador da [NAME],Support general,Medium
We need the [NAME] to be connected to the R Drive,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Moorhead printer,Computer-Services,Medium
[TICKET ID] - New Support Ticket received  - cambio formato de excel en archivos,O365,Medium
User [USERNAME] löschen,Active Directory,Medium
Acceso a Carpetas,Fileservice,Medium
[TICKET ID] - New Support Ticket received  - Cadastrar usuário + compra de equipamento -[LOCATION]13362,Active Directory,Medium
Konto wird immer wieder gesperrt,Active Directory,Medium
Is it possible to download Power BI Desktop?,O365,High
[TICKET ID] - A Support Ticket was forwarded to your role  - URL,Support general,Medium
Change[LOCATION]Entry[LOCATION]FirewallChange[LOCATION]Entry[LOCATION]Firewall,Support general,Medium
[TICKET ID] - New Support Ticket received  - [Light House] [SERVER],Support general,Medium
Acces au [COMPANY] Interne,Active Directory,Medium
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]      Firstname: [NAME]   Lastname: [NAME]ailaddress: [EMAIL]  Phone: 0  Cost Center: 47050  Function:[LOCATION]Consultant  Company: [COMPANY]  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 18 2018 12:00AM     Additional information:  NameMailZugänge Witali [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad + lokale und server Lumira Designer Version zum Erstellen und upload von dem Dashboard  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad,Support general,Medium
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 44288  Function: Vigilant  Company: [COMPANY]  Department: [ADDRESS] [ADDRESS] 2 KM – [ADDRESS] Rural.  ZIP:[LOCATION][ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 22 2018  3:00AM     Additional information:,Support general,Medium
Mailbox von [NAME] als Shared Mailbox weiterhin bestehen lassen,Support general,Medium
[TICKET ID] - New Support Ticket received  - Acesso,Fileservice,Medium
File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. BRLM),Fileservice,Medium
Initiated by GIT: Missing connection to all security tools on [SERVER],Software,Medium
Login to Citrix for[LOCATION]and [NAME],Software,Medium
The user [NAME] @[URL] domain mailbox,Support general,Medium
[TICKET ID] - New Support Ticket received  - Problema no recebimento dos e-mail do [EMAIL],O365,Medium
[TICKET ID] - A Support Ticket was forwarded to you  - Send as delegate ,O365,Medium
[TICKET ID] - New Support Ticket received  - Desbloqueio de Celular,Support general,Medium
Zugriffsberechtigungen IT-Servicedesk Postfach für [NAME],Support general,Medium
Ads Slide in from the side and need to be stopped.,O365,Medium
[TICKET ID] - New Support Ticket received  - Mensagem,O365,Medium
Instalar e-mail na impressora para digitalizações,Computer-Services,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  -  Zugriff Shared Mailbox - [NAME] [EMAIL] auf ITCC,O365,Medium
File Share Access - [TICKET ID] - [USERNAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:                     J:/INS-DV              Requestor: [USERNAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Mail Blockierung?,O365,Medium
[TICKET ID] - New Support Ticket received  - Mcafee,Support general,Medium
E-mail do sac,Support general,Medium
[TICKET ID] - New information received on closed ticket  - Documents not scanning from copier to email,Computer-Services,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Hostalarm: ([SERVER]) [COMPANY] LS Site2Site[LOCATION]- UP -> DOWN,Support general,High
[TICKET ID] - New Support Ticket received  - Citrix not working and need Nautilus 9.3 on PC and installed as Citrix app,Software,Medium
Printer Access,Computer-Services,Medium
Acesso à Pasta de Rede,Fileservice,Medium
[COMPANY] list of employees in e-mails is not complete,O365,Medium
Basis User - [TICKET ID] - [USERNAME] ([COMPANY])Service Request: Basis User     Create Windows account for internal user  [USERNAME] ([COMPANY])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  958302  Company:  [COMPANY][LOCATION] Department:  CE-PRL-[ADDRESS]-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:       Important: Please set the EA10 to the following value: 8340 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY])     Desired date:  Jan  1 2019 12:00AM     Additional information:,Support general,Medium
[TICKET ID] - New Support Ticket received  - T&C Cellular Signal ,Support general,Medium
[SERVER] - Outdated McAfee Agent,Software,Medium
(2020011813239) Verizon Initial Notification,Support general,Medium
[TICKET ID] - New Support Ticket received  - Instalação de software,Software,Medium
Matrix update stalled,Software,Medium
Kommandozeile basierte Ablegen von Daten aus dem Netzwerk in einem S3 bucket,Software,Medium
File Share Access - [TICKET ID] -[LOCATION]ServiceService Request: File Share Access     Grant access to file share for the following user:  [NAME] (Username: [USERNAME])  Access Type: (RO) Read only  File Share:  //[SERVER]/[COMPANY]/[COMPANY] Berichte/     Requestor: [NAME] (EXTERNAL. [LOCATION])  Comment:  Used for exchanging [SOFTWARE] Import files,Fileservice,Medium
Restore AD object [NAME],Active Directory,Medium
Liberação de acesso a planilha,Fileservice,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]),Fileservice,Medium
File Share Access - [TICKET ID] [NAME] ([COMPANY]A. [LOCATION]),Fileservice,Medium
[TICKET ID] - A Support Ticket was forwarded to you  - UPN/email ID change,Active Directory,Medium
The user [USERNAME] need @[USERNAME] mailbox,Support general,Medium
Remove File Share Access - [TICKET ID] - [USERNAME] ([COMPANY]. [LOCATION])Service Request: Remove File Share Access     Remove file share access for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  File Share:       Requestor: [USERNAME] ([COMPANY]. [LOCATION])  Comment:  Hallo Zusammen. bitte den Zugriff auf Laufwerk J: Groups:  ZET-PW für mich entfernen lassen ! Danke und Gruß,Fileservice,Medium
The following system must be set to End Of Life in Nexthink:  [SERVER]  -Automated ticket creation-The following system must be set to End Of Life in Nexthink:  [SERVER],EOL,Medium
Externen Kontakt im AD anlegen,Active Directory,Medium
Create Shared Mailbox - [EMAIL] -[LOCATION]HR,Support general,Medium
[TICKET ID] - New Support Ticket received  - Wifi Request,Support general,Medium
[TICKET ID] - New Support Ticket received  - Need installation of a new mobile phone- blackberry. Okta. mobile pass,Software,Medium
[TICKET ID] - New Support Ticket received  - Skype Not Working,O365,Medium
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [USERNAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]   Phone: [PHONE]   Cost Center: 47046  Function: Development Lead & Integration Manager for[LOCATION] Company: [COMPANY][LOCATION] Department: GIT-[ADDRESS]  [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan  9 2019 12:00AM     Additional information:,Support general,Medium
Delete Shared Mailbox - [TICKET ID] - [EMAIL] ([COMPANY]-[PASSWORD]. [LOCATION]),Support general,Medium
Printer at my desk is hesitating when printing,Computer-Services,Medium
File Share Access - [TICKET ID] - [ADDRESS][COMPANY]. [LOCATION]),Fileservice,Medium
Acceso carpeta Produccion en Z,Fileservice,Medium
Edit Rechte auf AD Gruppe: [SERVER]_Publishing Bitte[LOCATION]Rechte für die User-Pflege auf die folgende AD-Gruppe erteilen:  [SERVER]_Publishing,Active Directory,Medium
File Share Access - [TICKET ID] - [USERNAME]. Dirk ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  J:/MBCALC     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
ACESSO EMAIL URGENTE,Support general,High
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: )  Access Type: (RW) Read / Write  File Share:  [URL]     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:  MA Turetzek Hard- and Software Lieferung ins Erdgeschoss der Villa.   Unsere temporäre Kollegin Birgit Turetzek benötigt vom 01.02. bis 30.04.2019 ein Notebook Leihgerät.[LOCATION]User fürs P01 incl. Logistikberechtigungen. Microsoft Anwendungen wie Outlook. Excel. Word und Zugriff auf das Laufwerk [URL]  Vielen Dank,Fileservice,Medium
SR290606 Leaving employee: The user [NAME] ([COMPANY]; [LOCATION]) is going to leave [COMPANY] on 02;01;2018,Active Directory,Medium
Instalacao impressora EPSON L3150,Computer-Services,Medium
Check the mailbox,Support general,Medium
[TICKET ID] - New Support Ticket received  - problemas para imprimir pedidos,Computer-Services,Medium
check_mk SD Hostalarm: ([SERVER]) [COMPANY] LS Site2Site[LOCATION]- UP -> DOWN,Support general,High
File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY])Service Request: File Share Access     Grant access to file share for the following user:  [NAME]. [NAME] ([COMPANY]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    j:/MAZ-Guests/2018_Bernal/       [NAME]       Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:    J:/MarkerDB       The user needs access to the Marker Database.   Thanks        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Fileservice,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Initiated by [COMPANY][LOCATION]- Vulnerable[LOCATION]on [SERVER],Support general,Medium
OKTABom dia      Gostaria de excluir o okta do meu antigo celular para poder configurar e logar pelo celular novo.      Obrigado,Software,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Create[LOCATION]entry [COMPANY]up.ads.dir,Support general,Medium
ATA activity,Software,Medium
Unable to send mail to user,Support general,Medium
Basis User for external - [TICKET ID] - [NAME]Service Request: Basis User for external     Create Windows account for external user  [NAME]. [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 44288  Function: Receptionist  Company: [COMPANY]  Department: [ADDRESS] [ADDRESS].  ZIP: [ADDRESS]  City: [ADDRESS] - MG  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 18 2018  3:00AM     Additional information:  I already requested user for her before. but her informations was missing on HCM. Now. she have register on HCM. So. please proceed with her new user with exchange account and [COMPANY] will delete her old user. Thanks.,Support general,Medium
Basis User for external - [TICKET ID] - [NAME]Service Request: Basis User for external     Create Windows account for external user  [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]   Phone: [PHONE]  Cost Center: 44281  Function: IT provider  Company: [COMPANY]  Department: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country:   Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan  4 2019 12:00AM     Additional information:  Please. could you create the adm user admwallis in[LOCATION]OU with the same rights as admpearce.,Support general,Medium
Crear carpeta dentro de J: Administración R&D,Fileservice,Medium
File Share Access - [TICKET ID] -[LOCATION]ServiceService Request: File Share Access     Grant access to file share for the following user: [LOCATION]Service (Username: mtx_service)  Access Type: (RW) Read / Write  File Share:  //[SERVER]/[COMPANY]/COMPANY] Berichte/     Requestor: [NAME] (EXTERNAL. [LOCATION])  Comment:  last request was only ReadOnly. because of requierement changes. Write Access is now needed,Fileservice,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - IDS-Event: Unsual amount of[LOCATION]errors (null queries),Support general,Medium
[TICKET ID] - Reminder of paused Support Ticket  - File Share Access - [TICKET ID] - [NAME] (AMA. [LOCATION]),Fileservice,Medium
Create Shared Mailbox - [EMAIL] - Finanzbuchhaltung agromais,Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - Basis User - [USERNAME] - [NAME] ([COMPANY]. [LOCATION])  ,Support general,Medium
[TICKET ID] - A Support Ticket was forwarded to your role  - RE: Decision for Order required: #[TICKET ID] - Install request,Software,Medium
Install Nessus Agent on [LOCATION]-DB01,Software,Medium
[TICKET ID] - New information received on closed ticket  - File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Fileservice,Medium
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. ESBA)Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. ESBA) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      Hello    I need [NAME] to have the same acces than [NAME] had.    Specially this folder: //[SERVER].[COMPANY]up.ads.dir/RH        Thank you    Cheers    [NAME]               Normal   0         21         false   false   false      ES   X-NONE   X-NONE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Requestor: [NAME] ([COMPANY]. ESBA)  Comment:,Fileservice,Medium
Delete Shared Mailbox - [EMAIL] - [EMAIL]. [LOCATION]),Support general,Medium
Change Erstellung - Freigabe für Emailverteiler Standort Deutschland,Support general,Medium
Keine Zugriffsrechte mehr auf eigene SharePoint Datenbank,Support general,Medium
External vendors have e3 license again (previously removed on [DRIVER_ID]),O365,Medium
[TICKET ID] - New Support Ticket received  - Top Ronda 3 Software Config.,Software,Medium
[TICKET ID] - New Support Ticket received  - activacion blackberry work,Support general,Medium
[TICKET ID] - New Support Ticket received  - Block email from [NAME] Enright,O365,Medium
Basis User - [USERNAME] -Service Request: Basis User     Create Windows account for internal user       Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  44288  Company:    Department:  [LOCATION]  Street:    ZIP:    City:    Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13717 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan 15 2019  3:00AM     Additional information:,Support general,Medium
instalacao do Power BI,O365,Medium
