ticket_text,category,priority,cleaned_text
Light User for external - [TICKET ID] - [USERNAME]. [NAME]Service Request: Light User for external  Create Light user for [USERNAME]. [NAME]      Firstname: [NAME]   Lastname: [NAME]ailaddress: [EMAIL]  Phone: 0  Cost Center: 47050  Function:[LOCATION]Consultant  Company: [COMPANY]  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 18 2018 12:00AM     Additional information:  NameMailZugänge Witali [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad + lokale und server Lumira Designer Version zum Erstellen und upload von dem Dashboard  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad,General Query,Medium,light user external ticket username service request light user external create light user username firstname lastname ailaddress email phone cost center function location consultant company company department git address zip address city address country address location location office expiration date defined important indicate external user requestor company location desired date dec additional information namemailzug nge witali email citrix location user inkl entwicklerschl ssel zugang launchpad email citrix location user inkl entwicklerschl ssel zugang launchpad email citrix location user inkl entwicklerschl ssel zugang launchpad lokale und server lumira designer version zum erstellen und upload von dem dashboard email citrix location user inkl entwicklerschl ssel zugang launchpad
Outllook - Senden im Auftrag von [EMAIL] nicht mehr möglich,General Query,Medium,outllook senden auftrag von email nicht mehr glich
[TICKET ID] - A Support Ticket was forwarded to your role  - Problem sending emails to address [EMAIL].,Technical Issue,Medium,ticket support ticket forwarded role problem sending emails address email
[TICKET ID] - A Support Ticket was forwarded to your role  - CREACIÓN DE CORREO [NAME],Account,Medium,ticket support ticket forwarded role creaci correo
Initiated by GIT: Missing connection to all securitytools on system [SERVER],Technical Issue,Medium,initiated git missing connection securitytools server
Instalacion de carpeta J en Red,Technical Issue,Medium,instalacion carpeta red
[TICKET ID] - A Support Ticket was forwarded to you  - Access [EMAIL],Technical Issue,Medium,ticket support ticket forwarded access email
[TICKET ID] - New Support Ticket received  - Cannot access files,Technical Issue,Medium,ticket new support ticket received access files
[TICKET ID] - New Support Ticket received  - Computer troubles,General Query,Medium,ticket new support ticket received computer troubles
access to public folder,Technical Issue,Medium,access public folder
Shared Mailbox Access - [ADDRESS] - [EMAIL],General Query,Medium,shared mailbox access address email
[COMPANY] Intranet Editor Rights User  Internal- [TICKET ID]Service Request: Intranet Editor Rights     Set Intranet Editor Rights only user for [NAME] ([COMPANY]A. [LOCATION])     Firstname: [NAME]  Lastname: [NAME]  Cost Center: 22008  Company: [COMPANY] SE & Co. KGaA  Department: [COMPANY]-SC  [ADDRESS]: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: Germany  Office: [LOCATION]. IG VI. 3.24     Editor Rights required  Publish News :False  Publish News and Content Pages: True   I dont know: False     Requestor: [NAME] ([COMPANY]A. [LOCATION])  Additional information:,Account,Medium,company intranet editor rights user internal ticket service request intranet editor rights set intranet editor rights user company location firstname lastname cost center company company kgaa department company address address zip address city address country germany office location editor rights required publish news false publish news content pages true dont know false requestor company location additional information
Need administrative rights for [LOCATION],Technical Issue,Medium,need administrative rights location
Shared Mailbox Access - [AWS_ACCESS_KEY] - [EMAIL],General Query,Medium,shared mailbox access aws access key email
Light User for external - [TICKET ID] - [USERNAME]-[NAME] Service Request: Light User for external  Create Light user for [USERNAME]. Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 32151  Function: Geschäftsführer  /  Managing director  Company: [COMPANY] GmbH  Department: SB-SP  [ADDRESS]: [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Feb  4 2020 12:00AM     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Feb  4 2019 12:00AM     Additional information:  [NAME] wird die Leererkennung im Regal realisieren.,General Query,Medium,light user external ticket username service request light user external create light user username firstname lastname ailaddress email phone phone cost center function gesch ftsf hrer managing director company company gmbh department address address zip address city address country address location location office expiration date feb important indicate external user requestor company location desired date feb additional information wird die leererkennung regal realisieren
[TICKET ID] - New Support Ticket received  - Basis User - [USERNAME] - [USERNAME] ([COMPANY]. [LOCATION])  ,General Query,Medium,ticket new support ticket received basis user username username company location
Problem with my user,Account,Medium,problem user
access to s3 bucket,Technical Issue,Medium,access bucket
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]      Firstname: [NAME]   Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 47003  Function: Praktikantin  Company: Praktikantin  Department: GMC-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: Germany  Location:[LOCATION] Office:   Expiration date: Mar 31 2019 12:00AM     Important: Please indicate in EA14 that it is an external user.     Requestor: [USERNAME] ([COMPANY]. [LOCATION])     Desired date: Feb  4 2019 12:00AM     Additional information:,General Query,Medium,light user external ticket service request light user external create light user firstname lastname ailaddress email phone phone cost center function praktikantin company praktikantin department gmc address zip address city address country germany location location office expiration date mar important indicate external user requestor username company location desired date feb additional information
Preciso que libere acesso à pasta J/RH,Technical Issue,Medium,preciso que libere acesso pasta
[TICKET ID] - New Support Ticket received  - Request access to [NAME]s email  ,Technical Issue,Medium,ticket new support ticket received request access email
Create AD group for [COMPANY] Scandinavia for myHR,Account,Medium,create group company scandinavia myhr
[TICKET ID] - New Support Ticket received  - Instalação software para ponto eletrônico,Technical Issue,Medium,ticket new support ticket received instala software para ponto eletr nico
[TICKET ID] - A Support Ticket was forwarded to your role  - Initiated by [COMPANY][LOCATION]- Vulnerable Adobe Flash on [SERVER],General Query,Medium,ticket support ticket forwarded role initiated company location vulnerable adobe flash server
No funciona SkypeBuenas tardes.  Me dejo de funcionar el Slype desde el viernes.  Gracias.,Technical Issue,Medium,funciona skypebuenas tardes dejo funcionar slype desde viernes gracias
missing emailsMissing emails from 9/2018 to 9/2017              [Image],Technical Issue,Medium,missing emailsmissing emails image
Erro pacote office,Technical Issue,Medium,erro pacote office
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:  //[COMPANY]up.ads.dir/[COMPANY]ein01-ems01/[LOCATION]/Groups/ESBA     Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username username access type read write file share company ads dir company ein ems location groups esba requestor company location comment
Create Shared Mailbox - [EMAIL] - [EMAIL],General Query,Medium,create shared mailbox email email
[TICKET ID] - A Support Ticket was forwarded to your role  - Expend service account permissons for [SOFTWARE] AD access,General Query,Medium,ticket support ticket forwarded role expend service account permissons software access
Unable to access missed conversations in OutlookHello.  When I click on a missed conversation in Outlook. it will not open it and give an error message.  See attachment....  Thanks!,Technical Issue,Medium,unable access missed conversations outlookhello click missed conversation outlook open error message attachment thanks
File Share Access - [TICKET ID] - [ADDRESS] ([COMPANY]A. [LOCATION]),Technical Issue,Medium,file share access ticket address company location
File Share Access - [TICKET ID] - [NAME] ([COMPANY]-[PASSWORD]. [LOCATION]),Technical Issue,Medium,file share access ticket company password location
Fileserver Migration[LOCATION](From [SERVER] to [SERVER]),Technical Issue,Medium,fileserver migration location server server
Initiated by GIT: Missing connection to AV on system [SERVER],Technical Issue,Medium,initiated git missing connection server
create new OUs North_America and South_America,Account,Medium,create new ous north america south america
Users [USERNAME] and Yock need help with VPN,General Query,Medium,users username yock need help vpn
Shared Mailbox Access - [PASSWORD] - [EMAIL],General Query,Medium,shared mailbox access password email
[COMPANY] - Security - Standard Change Add Member to Group Permission for mtx_service,General Query,Medium,company security standard change add member group permission mtx service
File Share Access - [TICKET ID] - [NAME] ([COMPANY]A. External),Technical Issue,Medium,file share access ticket company external
Guest wireless issues,General Query,Medium,guest wireless issues
Temporärer Zugang zur Mailgruppe [COMPANY] Standort Einbeck um eine wichtige Mitteilung zur Datennutzung zu verschicken,General Query,Medium,tempor rer zugang zur mailgruppe company standort einbeck eine wichtige mitteilung zur datennutzung verschicken
File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:      N:/MA55/      please create the folder and give R/W access for this and all subfolders.        Requestor: [NAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket company location service request file share access grant access file share following user company location username username access type read write file share create folder access subfolders requestor company location comment
impressora com erro,Technical Issue,Medium,impressora com erro
[TICKET ID] - New Support Ticket received  - File Share Access - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION]),Technical Issue,Medium,ticket new support ticket received file share access ticket company location
[TICKET ID] - This Support Ticket was reopened  - Acesso a Intranet [COMPANY],General Query,Medium,ticket support ticket reopened acesso intranet company
Missing connection to McAfee on system [SERVER],Technical Issue,Medium,missing connection mcafee server
Liberação acesso a pasta,Technical Issue,Medium,libera acesso pasta
Impressora Zebra nao está imprimindo.,Technical Issue,Medium,impressora zebra nao est imprimindo
Basis User - [TICKET ID] - [NAME] ([COMPANY]. [LOCATION])Service Request: Basis User     Create Windows account for internal user  [NAME] ([COMPANY]. [LOCATION])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  41601  Company:  [COMPANY] SE  Department:  GGR-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  [ADDRESS]  Office:       Important: Please set the EA10 to the following value: 13415 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date:  Jan  2 2019 12:00AM     Additional information:   [NAME] beginnt seine Arbeit erst am 02.01.19. Lieferungend avor bitte an [NAME] oder [NAME] [NAME]ke,General Query,Medium,basis user ticket company location service request basis user create windows account internal user company location firstname lastname cost center company company department ggr address zip address city address country address office important set following value leave blank create exchange skype account user needs following access permissions username auftrag info transfer vorlagen access company intranet access software server requestor company location desired date jan additional information beginnt seine arbeit erst lieferungend avor bitte oder
[TICKET ID] - New Support Ticket received  -[LOCATION]on samsung J7 not working. Lost Login credentials. ,Technical Issue,Medium,ticket new support ticket received location samsung working lost login credentials
[TICKET ID] - New Support Ticket received  - Problema Computador da [NAME],General Query,Medium,ticket new support ticket received problema computador
We need the [NAME] to be connected to the R Drive,Technical Issue,Medium,need connected drive
[TICKET ID] - New Support Ticket received  - Moorhead printer,Technical Issue,Medium,ticket new support ticket received moorhead printer
[TICKET ID] - New Support Ticket received  - cambio formato de excel en archivos,Technical Issue,Medium,ticket new support ticket received cambio formato excel archivos
User [USERNAME] löschen,Account,Medium,user username schen
Acceso a Carpetas,Technical Issue,Medium,acceso carpetas
[TICKET ID] - New Support Ticket received  - Cadastrar usuário + compra de equipamento -[LOCATION]13362,Account,Medium,ticket new support ticket received cadastrar usu rio compra equipamento location
Konto wird immer wieder gesperrt,Account,Medium,konto wird immer wieder gesperrt
Is it possible to download Power BI Desktop?,Technical Issue,High,possible download power desktop
[TICKET ID] - A Support Ticket was forwarded to your role  - URL,General Query,Medium,ticket support ticket forwarded role url
Change[LOCATION]Entry[LOCATION]FirewallChange[LOCATION]Entry[LOCATION]Firewall,General Query,Medium,change location entry location firewallchange location entry location firewall
[TICKET ID] - New Support Ticket received  - [Light House] [SERVER],General Query,Medium,ticket new support ticket received light house server
Acces au [COMPANY] Interne,Account,Medium,acces company interne
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]      Firstname: [NAME]   Lastname: [NAME]ailaddress: [EMAIL]  Phone: 0  Cost Center: 47050  Function:[LOCATION]Consultant  Company: [COMPANY]  Department: GIT-[ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 18 2018 12:00AM     Additional information:  NameMailZugänge Witali [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad + lokale und server Lumira Designer Version zum Erstellen und upload von dem Dashboard  [NAME] [EMAIL] Citrix.[LOCATION]BW User (inkl. Entwicklerschlüssel). Zugang BO/BI Launchpad,General Query,Medium,light user external ticket service request light user external create light user firstname lastname ailaddress email phone cost center function location consultant company company department git address zip address city address country address location location office expiration date defined important indicate external user requestor company location desired date dec additional information namemailzug nge witali email citrix location user inkl entwicklerschl ssel zugang launchpad email citrix location user inkl entwicklerschl ssel zugang launchpad email citrix location user inkl entwicklerschl ssel zugang launchpad lokale und server lumira designer version zum erstellen und upload von dem dashboard email citrix location user inkl entwicklerschl ssel zugang launchpad
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [NAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]  Phone: [PHONE]  Cost Center: 44288  Function: Vigilant  Company: [COMPANY]  Department: [ADDRESS] [ADDRESS] 2 KM – [ADDRESS] Rural.  ZIP:[LOCATION][ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Dec 22 2018  3:00AM     Additional information:,General Query,Medium,light user external ticket service request light user external create light user firstname lastname ailaddress email phone phone cost center function vigilant company company department address address address rural zip location address city address country address location location office expiration date defined important indicate external user requestor company location desired date dec additional information
Mailbox von [NAME] als Shared Mailbox weiterhin bestehen lassen,General Query,Medium,mailbox von als shared mailbox weiterhin bestehen lassen
[TICKET ID] - New Support Ticket received  - Acesso,Technical Issue,Medium,ticket new support ticket received acesso
File Share Access - [TICKET ID] - [NAME]. [NAME] ([COMPANY]. BRLM),Technical Issue,Medium,file share access ticket company brlm
Initiated by GIT: Missing connection to all security tools on [SERVER],Technical Issue,Medium,initiated git missing connection security tools server
Login to Citrix for[LOCATION]and [NAME],Technical Issue,Medium,login citrix location
The user [NAME] @[URL] domain mailbox,General Query,Medium,user url domain mailbox
[TICKET ID] - New Support Ticket received  - Problema no recebimento dos e-mail do [EMAIL],Technical Issue,Medium,ticket new support ticket received problema recebimento dos mail email
[TICKET ID] - A Support Ticket was forwarded to you  - Send as delegate ,Technical Issue,Medium,ticket support ticket forwarded send delegate
[TICKET ID] - New Support Ticket received  - Desbloqueio de Celular,General Query,Medium,ticket new support ticket received desbloqueio celular
Zugriffsberechtigungen IT-Servicedesk Postfach für [NAME],General Query,Medium,zugriffsberechtigungen servicedesk postfach
Ads Slide in from the side and need to be stopped.,Technical Issue,Medium,ads slide need stopped
[TICKET ID] - New Support Ticket received  - Mensagem,Technical Issue,Medium,ticket new support ticket received mensagem
Instalar e-mail na impressora para digitalizações,Technical Issue,Medium,instalar mail impressora para digitaliza
[TICKET ID] - A Support Ticket was forwarded to your role  -  Zugriff Shared Mailbox - [NAME] [EMAIL] auf ITCC,Technical Issue,Medium,ticket support ticket forwarded role zugriff shared mailbox email auf itcc
File Share Access - [TICKET ID] - [USERNAME]. [NAME] ([COMPANY]. [LOCATION])Service Request: File Share Access     Grant access to file share for the following user:  [USERNAME]. [NAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  Access Type: (RW) Read / Write  File Share:                     J:/INS-DV              Requestor: [USERNAME] ([COMPANY]. [LOCATION])  Comment:,Technical Issue,Medium,file share access ticket username company location service request file share access grant access file share following user username company location username username access type read write file share ins requestor username company location comment
[TICKET ID] - A Support Ticket was forwarded to your role  - Mail Blockierung?,Technical Issue,Medium,ticket support ticket forwarded role mail blockierung
[TICKET ID] - New Support Ticket received  - Mcafee,General Query,Medium,ticket new support ticket received mcafee
E-mail do sac,General Query,Medium,mail sac
[TICKET ID] - New information received on closed ticket  - Documents not scanning from copier to email,Technical Issue,Medium,ticket new information received closed ticket documents scanning copier email
[TICKET ID] - A Support Ticket was forwarded to your role  - check_mk SD Hostalarm: ([SERVER]) [COMPANY] LS Site2Site[LOCATION]- UP -> DOWN,General Query,High,ticket support ticket forwarded role check hostalarm server company site site location
[TICKET ID] - New Support Ticket received  - Citrix not working and need Nautilus 9.3 on PC and installed as Citrix app,Technical Issue,Medium,ticket new support ticket received citrix working need nautilus installed citrix app
Printer Access,Technical Issue,Medium,printer access
Acesso à Pasta de Rede,Technical Issue,Medium,acesso pasta rede
[COMPANY] list of employees in e-mails is not complete,Technical Issue,Medium,company list employees mails complete
Basis User - [TICKET ID] - [USERNAME] ([COMPANY])Service Request: Basis User     Create Windows account for internal user  [USERNAME] ([COMPANY])     Firstname:  [NAME]  Lastname:  [NAME]  Cost Center:  958302  Company:  [COMPANY][LOCATION] Department:  CE-PRL-[ADDRESS]-[ADDRESS]  ZIP:  [ADDRESS]  City:  [ADDRESS]  Country:  Germany  Office:       Important: Please set the EA10 to the following value: 8340 (leave blank. when empty)  Please create Exchange and Skype account.  The user needs at least the following access permissions:  (RW) H:/%username%  (RO) J:/Auftrag  (RW) J:/Info  (RW) J:/Transfer  (RO) J:/Vorlagen  Access to [COMPANY] intranet  Access to [SOFTWARE] ([SERVER])  Requestor:  [NAME] ([COMPANY])     Desired date:  Jan  1 2019 12:00AM     Additional information:,General Query,Medium,basis user ticket username company service request basis user create windows account internal user username company firstname lastname cost center company company location department prl address address zip address city address country germany office important set following value leave blank create exchange skype account user needs following access permissions username auftrag info transfer vorlagen access company intranet access software server requestor company desired date jan additional information
[TICKET ID] - New Support Ticket received  - T&C Cellular Signal ,General Query,Medium,ticket new support ticket received cellular signal
[SERVER] - Outdated McAfee Agent,Technical Issue,Medium,server outdated mcafee agent
(2020011813239) Verizon Initial Notification,General Query,Medium,verizon initial notification
[TICKET ID] - New Support Ticket received  - Instalação de software,Technical Issue,Medium,ticket new support ticket received instala software
Matrix update stalled,Technical Issue,Medium,matrix update stalled
Kommandozeile basierte Ablegen von Daten aus dem Netzwerk in einem S3 bucket,Technical Issue,Medium,kommandozeile basierte ablegen von daten aus dem netzwerk einem bucket
File Share Access - [TICKET ID] -[LOCATION]ServiceService Request: File Share Access     Grant access to file share for the following user:  [NAME] (Username: [USERNAME])  Access Type: (RO) Read only  File Share:  //[SERVER]/[COMPANY]/[COMPANY] Berichte/     Requestor: [NAME] (EXTERNAL. [LOCATION])  Comment:  Used for exchanging [SOFTWARE] Import files,Technical Issue,Medium,file share access ticket location serviceservice request file share access grant access file share following user username username access type read file share server company company berichte requestor external location comment used exchanging software import files
Restore AD object [NAME],Account,Medium,restore object
Liberação de acesso a planilha,Technical Issue,Medium,libera acesso planilha
File Share Access - [TICKET ID] - [NAME] ([COMPANY]),Technical Issue,Medium,file share access ticket company
File Share Access - [TICKET ID] [NAME] ([COMPANY]A. [LOCATION]),Technical Issue,Medium,file share access ticket company location
[TICKET ID] - A Support Ticket was forwarded to you  - UPN/email ID change,Account,Medium,ticket support ticket forwarded upn email change
The user [USERNAME] need @[USERNAME] mailbox,General Query,Medium,user username need username mailbox
Remove File Share Access - [TICKET ID] - [USERNAME] ([COMPANY]. [LOCATION])Service Request: Remove File Share Access     Remove file share access for the following user:  [USERNAME] ([COMPANY]. [LOCATION]) (Username: [USERNAME])  File Share:       Requestor: [USERNAME] ([COMPANY]. [LOCATION])  Comment:  Hallo Zusammen. bitte den Zugriff auf Laufwerk J: Groups:  ZET-PW für mich entfernen lassen ! Danke und Gruß,Technical Issue,Medium,remove file share access ticket username company location service request remove file share access remove file share access following user username company location username username file share requestor username company location comment hallo zusammen bitte den zugriff auf laufwerk groups zet mich entfernen lassen danke und gru
The following system must be set to End Of Life in Nexthink:  [SERVER]  -Automated ticket creation-The following system must be set to End Of Life in Nexthink:  [SERVER],Technical Issue,Medium,following set end life nexthink server automated ticket creation following set end life nexthink server
Externen Kontakt im AD anlegen,Account,Medium,externen kontakt anlegen
Create Shared Mailbox - [EMAIL] -[LOCATION]HR,General Query,Medium,create shared mailbox email location
[TICKET ID] - New Support Ticket received  - Wifi Request,General Query,Medium,ticket new support ticket received wifi request
[TICKET ID] - New Support Ticket received  - Need installation of a new mobile phone- blackberry. Okta. mobile pass,Technical Issue,Medium,ticket new support ticket received need installation new mobile phone blackberry okta mobile pass
[TICKET ID] - New Support Ticket received  - Skype Not Working,Technical Issue,Medium,ticket new support ticket received skype working
Light User for external - [TICKET ID] - [NAME]Service Request: Light User for external  Create Light user for [USERNAME]     Firstname: [NAME]  Lastname: [NAME]ailaddress: [EMAIL]   Phone: [PHONE]   Cost Center: 47046  Function: Development Lead & Integration Manager for[LOCATION] Company: [COMPANY][LOCATION] Department: GIT-[ADDRESS]  [ADDRESS]  ZIP: [ADDRESS]  City: [ADDRESS]  Country: [ADDRESS]  Location:[LOCATION] Office:   Expiration date: Not defined     Important: Please indicate in EA14 that it is an external user.     Requestor: [NAME] ([COMPANY]. [LOCATION])     Desired date: Jan  9 2019 12:00AM     Additional information:,General Query,Medium,light user external ticket service request light user external create light user username firstname lastname ailaddress email phone phone cost center function development lead integration manager location company company location department git address address zip address city address country address location location office expiration date defined important indicate external user requestor company location desired date jan additional information
Delete Shared Mailbox - [TICKET ID] - [EMAIL] ([COMPANY]-[PASSWORD]. [LOCATION]),General Query,Medium,delete shared mailbox ticket email company password location
Printer at my desk is hesitating when printing,Technical Issue,Medium,printer desk hesitating printing
File Share Access - [TICKET ID] - [ADDRESS][COMPANY]. [LOCATION]),Technical Issue,Medium,file share access ticket address company location
Acceso carpeta Produccion en Z,Technical Issue,Medium,acceso carpeta produccion
Edit Rechte auf AD Gruppe: [SERVER]_Publishing Bitte[LOCATION]Rechte für die User-Pflege auf die folgende AD-Gruppe erteilen:  [SERVER]_Publishing,Account,Medium,edit rechte auf gruppe server publishing bitte location rechte die user pflege auf die folgende gruppe erteilen server publishing
